127.0.0.1 - - [20/Sep/2023:08:40:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/index.jsp HTTP/1.1" 200 29771
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/hamduk.png HTTP/1.1" 200 4657236
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/halla.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/geumnong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/woodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/yuchae.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/museum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/handam.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/hyupjae.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/olleh.jpg HTTP/1.1" 200 4926655
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/whale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/aquaplanet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/sungsan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/manjang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/racing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/event1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/event2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:52 +0900] "GET /sistSemiProject/jeju/event3.png HTTP/1.1" 304 -
